id,timespent,gender,comments,likes,platform,publications,sessions,subscriptions,unsubcriptions,views
1,42.7449811821859,male,1,0,android,1,1,0,0,15.0
2,15.7449811821859,female,0,0,android,0,1,0,0,5.0
3,536.473772061435,male,7,14,iOS,0,1,0,0,219.0
4,308.744981182185,male,0,6,android,0,1,0,0,175.0
5,9.74498118218596,male,0,0,android,0,1,0,0,10.0
6,24.7449811821859,female,0,2,android,0,1,0,0,14.0
7,1.74498118218596,female,0,0,android,0,1,0,0,1.0
8,25.7449811821859,female,0,1,android,0,1,0,0,6.0
9,6.41735614594633,female,1,0,iOS,0,1,0,0,0.0
10,331.744981182185,female,0,2,android,0,1,0,0,123.0
11,5.74498118218596,male,0,0,android,0,1,0,0,2.0
12,54.7449811821859,male,0,12,android,0,1,0,0,11.0
13,77.7449811821859,male,5,1,android,1,1,0,0,61.0
14,29.7449811821859,male,1,1,android,0,1,0,0,42.0
15,41.9853129511755,male,2,0,iOS,3,1,0,0,27.0
16,26.7449811821859,male,2,0,android,0,1,0,0,10.0
17,61.7449811821859,male,0,0,android,0,1,0,0,44.0
18,29.6984661942404,male,4,0,iOS,0,1,0,0,24.0
19,0.74498118218596,female,0,0,android,0,1,0,0,0.0
20,26.7449811821859,male,5,0,android,0,1,0,0,12.0
21,54.7449811821859,female,3,0,android,1,1,0,0,9.0
22,3.74498118218596,female,1,0,android,0,1,0,0,3.0
23,202.166623128024,male,3,0,iOS,0,1,0,0,120.0
24,0.74498118218596,male,0,0,android,0,1,0,0,0.0
25,38.7449811821859,female,5,0,android,0,1,0,0,7.0
26,39.7449811821859,female,0,0,android,0,1,0,0,4.0
27,0.74498118218596,male,0,0,android,0,1,0,0,0.0
28,167.691794169513,male,7,0,iOS,0,1,0,0,80.0
29,9.74498118218596,female,0,0,android,0,1,0,0,8.0
30,64.7449811821859,male,1,0,android,0,2,0,0,29.0
31,10.7449811821859,female,0,0,android,0,1,0,0,0.0
32,182.744981182185,female,1,0,android,0,1,0,0,88.0
33,94.7449811821859,male,4,0,android,0,1,0,0,33.0
34,23.7449811821859,female,8,0,android,2,2,0,0,8.0
35,4.74498118218596,female,0,0,android,0,1,0,0,1.0
36,1743.74498118218,male,0,4,android,0,1,0,0,846.0
37,19.7449811821859,female,0,0,android,0,1,0,0,6.0
38,2.74498118218596,female,3,0,android,0,1,0,0,1.0
39,43.7449811821859,male,6,0,android,0,1,0,0,20.0
40,9.74498118218596,male,1,0,android,0,1,0,0,3.0
41,3.74498118218596,male,1,0,android,0,1,0,0,1.0
42,28.7449811821859,female,3,0,android,1,1,0,0,5.0
43,27.9635762101095,female,5,0,iOS,0,1,0,0,15.0
44,28.7449811821859,male,1,0,android,0,1,0,0,13.0
45,0.74498118218596,female,0,0,android,0,1,0,0,0.0
46,45.7449811821859,male,0,0,android,0,1,0,0,15.0
47,6.74498118218596,female,3,0,android,0,1,0,0,1.0
48,5.74498118218596,male,0,0,android,0,1,0,0,1.0
49,237.744981182185,female,2,0,android,0,1,0,0,117.0
50,1.74498118218596,male,0,0,android,0,1,0,0,1.0
51,10.7449811821859,male,3,0,android,0,1,0,0,5.0
52,0.853002083865952,female,0,0,iOS,0,1,0,0,0.0
53,43.7449811821859,male,4,0,android,0,1,0,0,13.0
54,44.7449811821859,male,0,0,android,0,1,0,0,22.0
55,30.7449811821859,male,0,0,android,0,2,0,0,8.0
56,,male,0,0,iOS,0,1,0,0,
57,10.8043081885259,female,1,0,iOS,0,1,0,0,3.0
58,134.744981182185,male,4,0,android,0,1,0,0,54.0
59,29.7449811821859,male,0,0,android,0,1,0,0,6.0
60,24.1265481835287,female,2,0,iOS,1,1,0,0,4.0
61,1.74498118218596,female,0,0,android,0,1,0,0,0.0
62,28.1945761567037,female,4,0,iOS,0,1,0,0,5.0
63,6.74498118218596,male,1,0,android,0,1,0,0,1.0
64,0.74498118218596,female,0,0,android,0,1,0,0,1.0
65,30.7449811821859,male,2,0,android,0,1,0,0,3.0
66,15.7449811821859,male,0,0,android,0,1,0,0,7.0
67,34.7449811821859,female,0,0,android,0,1,0,0,21.0
68,5.74498118218596,female,1,0,android,0,1,0,0,2.0
69,68.7449811821859,female,0,0,android,0,1,0,0,53.0
70,16.7449811821859,male,0,1,android,0,1,0,0,13.0
71,6.74498118218596,female,0,0,android,0,1,0,0,2.0
72,30.7449811821859,female,5,2,android,2,1,0,0,11.0
73,0.74498118218596,male,0,0,android,0,1,0,0,0.0
74,44.7449811821859,male,0,0,android,0,1,0,0,21.0
75,31.7449811821859,male,0,0,android,0,1,0,0,0.0
76,45.7449811821859,male,5,0,android,2,1,0,0,10.0
77,19.7449811821859,male,0,0,android,0,1,0,0,0.0
78,19.7449811821859,female,3,0,android,0,2,0,0,6.0
79,5.74498118218596,male,0,0,android,0,1,0,0,3.0
80,88.7449811821859,female,0,0,android,0,1,0,0,42.0
81,288.744981182185,male,0,0,android,0,1,0,0,126.0
82,24.7449811821859,male,0,0,android,0,1,0,0,20.0
83,19.8960771685522,female,5,0,iOS,0,1,0,0,14.0
84,10.7449811821859,male,0,1,android,0,1,0,0,4.0
85,40.7449811821859,male,0,0,android,0,1,0,0,18.0
86,40.7449811821859,male,0,0,android,0,2,0,0,12.0
87,71.9493570452612,female,4,0,iOS,0,2,0,0,23.0
88,96.7449811821859,male,3,0,android,0,1,0,0,29.0
89,3.74498118218596,male,1,0,android,0,1,0,0,1.0
90,114.744981182185,male,0,0,android,0,1,0,0,23.0
91,11.7449811821859,male,1,0,android,0,1,0,0,4.0
92,68.7449811821859,male,0,0,android,0,1,2,0,32.0
93,10.7449811821859,male,0,0,android,0,1,0,0,3.0
94,11.7449811821859,female,0,0,android,0,1,0,0,4.0
95,24.7449811821859,female,0,0,android,0,1,0,0,5.0
96,6.74498118218596,female,0,0,android,0,1,0,0,1.0
97,0.74498118218596,female,0,0,android,0,1,0,0,0.0
98,4.6240831738394,male,1,0,iOS,0,1,0,0,1.0
99,63.7449811821859,female,3,1,android,1,1,0,0,9.0
100,20.7449811821859,female,0,0,android,0,1,0,0,0.0
101,21.7449811821859,male,2,0,android,0,1,0,0,8.0
102,12.7449811821859,male,0,0,android,0,1,0,0,4.0
103,63.7449811821859,male,0,0,android,0,1,0,0,14.0
104,27.7449811821859,female,0,0,android,0,1,0,0,11.0
105,19.7449811821859,male,2,0,android,1,1,0,0,4.0
106,24.7449811821859,female,0,0,android,0,1,0,0,6.0
107,33.7449811821859,female,3,0,android,0,1,0,0,5.0
108,77.7449811821859,female,2,0,android,0,2,0,0,28.0
109,52.7449811821859,female,0,0,android,0,1,0,0,13.0
110,4.74498118218596,female,3,0,android,0,1,0,0,2.0
111,75.7449811821859,male,2,0,android,0,1,0,0,30.0
112,7.74498118218596,male,0,0,android,0,1,0,0,0.0
113,16.7449811821859,male,0,0,android,0,1,0,0,0.0
114,438.744981182185,male,3,0,android,0,2,0,0,130.0
115,32.7449811821859,male,2,0,android,0,1,0,0,8.0
116,115.744981182185,male,0,0,android,0,1,0,0,12.0
117,192.959360015956,male,5,0,iOS,1,1,0,0,141.0
118,17.7449811821859,female,0,0,android,0,1,0,0,6.0
119,122.744981182185,male,5,0,android,0,1,0,0,86.0
120,25.7449811821859,male,0,0,android,0,1,0,0,6.0
121,122.744981182185,male,0,0,android,0,1,0,0,19.0
122,40.7449811821859,male,3,0,android,0,1,0,0,15.0
123,10.7449811821859,female,0,0,android,0,1,0,0,5.0
124,3.74498118218596,female,0,0,android,0,1,0,0,1.0
125,8.74498118218596,male,0,0,android,0,1,0,0,0.0
126,22.7449811821859,male,0,0,android,0,1,0,0,8.0
127,19.7449811821859,male,0,0,android,0,2,0,0,7.0
